C0003811	cardiac arrhythmia
C0277239	infection by cylicodontophorus
C0277240	infection by cylicostephanus
C0277237	infection by gyalocephalus
C0277146	infection by parascaris equorum
C0277303	infection by strongyloides westeri
C0277227	infection by strongylus
C0277229	infection by strongylus edentatus
C0277228	infection by strongylus vulgaris
C0277230	infection by triodontophorus
C0030100	oxyuriasis
C0038459	strongyle infections, equine
C0235267	redness of eye
C0271907	acquired aplastic anemia
C0948168	bone marrow toxicity
C0702159	constitutional aplastic anemia
C0302085	decreased erythrocyte production
C0178416	hypoplastic anemia
C0026987	myelofibrosis
C0426649	bowel spasm
C1290992	smooth muscle spasm
C1140999	contraction (finding)
C1384485	normal delivery
C0516816	milk ejection (let-down) reflex
C3161762	postpartum uterus
C0042130	uterine contraction
C1568868	oral mucositis
C0152021	congenital heart disease
C0151526	premature birth
C1409052	nutrient; excess
C0149521	pancreatitis, chronic
C1556672	pancreas exocrine enzyme deficiency adverse event
C0030286	pancreatic diseases
C0341491	pancreatic duct obstruction
C0085616	vasospasm
C2316810	chronic kidney disease stage 5
C0264009	osteodystrophy
C0019147	hepatic coma
C0301619	exocrine gland secretion
C0870495	endocrine gland secretion
C0596290	cell proliferation
C0018078	gonococcal urethritis
C1152810	erythropoietin receptor activity
C1561828	anemia of chronic kidney disease
C1152681	tumor necrosis factor receptor activity
C1152812	growth hormone receptor activity
C1753359	insulin-like growth factor activity
C1152278	phosphoribosylglycinamide formyltransferase activity
C1152250	thymidylate synthase activity
C0812413	malignant pleural mesothelioma
C0019372	herpesviridae infections
C0274928	copper poisoning
C0023290	leishmaniasis, visceral
C0005833	blood sedimentation
C0279780	refractory hairy cell leukemia
C0086188	drug potentiation
C1306889	peripheral arterial occlusive disease
C0231441	immobile
C0017086	gangrene
C0024534	malaria, cerebral
C0042384	vasculitis
C3156877	ampa receptor activity
C1319512	echocardiogram equivocal
C2917331	contrast agent for ultrasound imaging
C0677946	stable disease
C0013578	ectoparasitic infestations
C0035400	reye syndrome
C0040485	torticollis
C0007202	cardiopulmonary bypass
C0178324	vascular system injuries
C0423736	scalding pain on urination
C0268818	disorder of the lower urinary tract
C0007780	cerebral embolism
C0333205	mural thrombus
C0398623	thrombophilia
C0270851	benign neonatal epilepsy
C0020433	hyperbilirubinemia
C0009952	febrile convulsions
C0005001	benign prostatic hypertrophy
C0024588	malignant essential hypertension
C0005694	bladder neck obstruction
C0023212	left-sided heart failure
C0573196	overdose of cocaine
C0221154	paroxysmal hypertension
C1371464	coronary arterial vasoconstriction
C0151799	skin necrosis
C0038435	stress
C0009014	clonidine
C1151208	carbonyl reductase (nadph) activity
C0018808	heart murmur
C0265034	internal hemorrhoids
C0033117	priapism
C0524850	neurosurgical procedures
C0014527	epidermolysis bullosa
C0338657	age-associated memory impairment
C0338656	impaired cognition
C0239313	exertional
C0237996	anticholinergic toxicity
C0565637	poisoning by cns drug
C1275047	radiation-induced xerostomia
C1842032	motor and vocal tics
C1328480	partial bowel obstruction
C1511460	cxcr4 signaling pathway
C0020438	hypercalciuria
C0153594	malignant neoplasm of testis
C0017412	genital diseases, male
C0030354	papilloma
C0332803	surgical wound
C0589549	surgical aid
C0014070	encephalomyelitis
C0019940	horse diseases
C0854216	encephalitis protozoal
C0036231	sarcocystosis
C0746882	chronic neutropenia
C0276758	fusariosis
C0037280	skin diseases, parasitic
C0162628	skin diseases, viral
C0274704	poisoning by anticholinesterase agents
C0014437	enzyme reactivators
C1150137	caspase-1 activity
C0152069	echinococcus multilocularis infection
C1331532	fasciola hepatica infection
C0277005	infection by opisthorchis viverrini
C0277061	infection by taenia pisiformis
C0277062	infection by taenia taeniaeformis
C0276926	schistosoma hematobium infection
C0036329	schistosomiasis japonica
C0857944	schistosoma mekongi infection
C0010678	cysticercosis
C0021832	intestinal diseases, parasitic
C0035440	acute rheumatic heart disease
C0014488	epicondylitis
C0021655	insulin resistance
C0857305	thrombocytopenic purpura
C0040147	thyroiditis
C0035242	respiratory tract diseases
C0268108	chronic gouty arthritis
C0744466	gout tophaceous
C0001552	pharmaceutical adjuvants
C0027927	neurosyphilis
C0853662	oestrogen deficiency
C0235480	paroxysmal atrial fibrillation
C0741292	paroxysmal atrial flutter
C0041969	urethral diseases
C1275395	condition appropriate for anesthesia
C0274591	poisoning by heparin
C0040586	tracheobronchitis
C0596407	dental agent
C1150095	peptidase activity
C0151332	active tuberculosis
C0936215	vitamin b 6 deficiency
C0031117	peripheral neuropathy
C2930826	acute malaria
C0023283	leishmaniasis, cutaneous
C0004576	babesiosis
C0853879	breast cancer invasive nos
C0346629	malignant neoplasm of large intestine
C2741638	stress ulcer
C1566590	delayed graft function
C0730400	solid organ transplant
C0014457	eosinophilia
C1149208	interleukin-5 receptor activity
C2936252	plant immunity
C2347612	child-pugh classification
C0001487	adenovirus infections, human
C0043124	west nile fever
C2261968	thromboxane synthase activity
C0220994	hyperammonemia
C3267073	autoinflammatory disease
C0221423	illness (finding)
C0042165	anterior uveitis
C0001807	aggressive behavior
C3494652	severe dementia
C0233522	inappropriate behavior
C0882818	cell positive for cd20 antigen
C0349081	dementia in parkinson's disease
C0729521	bacterial gastrointestinal infectious disease
C0752180	central nervous system bacterial infections
C0035404	rh isoimmunization
C2245060	rhinovirus protease 3c activity
C1150611	jak activity
C1283620	sucrase-isomaltase deficiency, congenital
C0543515	sucrase deficiency disease
C0012242	digestive system disorders
C0276796	disease due to eimeria
C0021051	immunologic deficiency syndromes
C1753309	glycine receptor activity
C1153060	glycine transporter activity
C0524620	metabolic syndrome x
C0015469	facial paralysis
C0022073	iridocyclitis
C0013170	drug habituation
C3151951	exocrine pancreatic dysfunction
C0678872	exocrine pancreas function
C0017150	gastrinoma
C0233574	hyperkinetic
C0026650	movement disorders
C2244389	intermediate conductance calcium-activated potassium channel activity
C1152756	thromboxane receptor activity
C0013336	dwarfism
C0343755	hiv wasting syndrome
C0031572	phobia, social
C0520676	premenstrual dysphoric disorder
C1850137	elevated serum phosphorus
C0031707	phosphorus metabolism disorders
C0011633	dermatomyositis
C0085655	polymyositis
C0001707	aerophagy
C1623223	dna gyrase activity
C2244847	sterol c-methyltransferase activity
C1512433	cervical high grade squamous intraepithelial lesion
C1112776	thyroid hyperplasia
C0271561	somatotropin deficiency
C0013338	pituitary dwarfism
C0235394	wasting
C0041667	underweight
C2746015	protein serine/threonine kinase activity
C0155709	atrial fibrillation and flutter
C0029433	osteogenesis
C1523887	erythrocyte maturation
C0007114	malignant neoplasm of skin
C1817907	t cell mediated immunity
C0339959	chlamydial pneumonia
C0153195	acute gonococcal cervicitis
C0860175	acute proctitis
C1384514	conn syndrome
C0597849	low renin hypertension
C0241158	scar tissue
C1150572	protein kinase c activity
C1868996	acute transmural myocardial infarction
C0151942	arterial thrombosis
C0349766	arteriovenous shunt occlusion
C0853398	endocarditis enterococcal
C0041351	tularemia
C1276147	metastatic islet cell carcinoma
C0262463	increased blood lead level
C0751861	lead poisoning, nervous system, childhood
C1838994	rapid onset
C0333295	acute ulcer
C0237938	gastrointestinal ulcer
C1518622	osmotic activity [moa]
C0042267	vaginitis
C2258380	dihydropteroate synthetase activity
C0155141	acute conjunctivitis
C0040592	trachoma
C0242147	acute urinary tract infection
C0008153	chlamydiaceae infections
C0028242	nocardia infections
C0030804	pemphigoid, benign mucous membrane
C0030805	bullous pemphigoid
C0009770	inclusion conjunctivitis
C0262421	chronic urinary tract infection
C0080107	respiratory tract fistula
C1290158	acute bursitis
C0410022	supraspinatus tendinitis
C0238198	gastrointestinal stromal tumors
C0700310	pupil constriction
C0189458	grafting of trachea
C0729958	lung transplant rejection
C0339303	corneal graft rejection
C1141940	rejection of intestine transplant
C0877157	rejection of pancreas transplant
C1861874	severe atopic dermatitis
C1141939	skin graft rejection
C0021079	therapeutic immunosuppression
C0596842	limb transplantation
C0268407	senile cardiac amyloidosis
C0475811	disorder of keratinization
C0032326	pneumothorax
C1639528	dusting powder agent
C1148771	retinoic acid receptor activity
C0018418	gynecomastia
C0948523	terminal dribbling
C0152032	urinary hesitation
C1753353	p-glycoprotein activity
C1698818	photodamaged skin
C0263415	solar elastosis
C0018810	heart rate
C0037354	smallpox
C0912332	glucagon-like peptide 2
C0854121	gastrointestinal motility disorder
C0396013	acute bacterial tonsillitis
C0006271	bronchiolitis
C2364009	pneumococcal lobar pneumonia
C1279264	infectious disease of genitourinary system
C0334579	anaplastic astrocytoma
C2585997	new diagnosis (finding)
C1458156	recurrent malignant neoplasm
C0017638	glioma
C1334017	high grade malignant neoplasm
C2728549	acute venous thrombosis
C0023452	leukemia, lymphocytic, acute, l1
C1335729	refractory neoplasm
C1335724	refractory hematologic malignancy
C0023448	lymphoid leukemia
C1522438	subcutaneous route of drug administration
C1306580	bone mass decreased
C0016658	fracture
C0596204	bone metabolism
C0311277	obesity, abdominal
C0232984	andropause
C1332623	breast carcinoma metastatic to the bone
C0008489	chorea
C0349333	other hyperkinetic disorders
C0006181	brill-zinsser disease
C0004943	behcet syndrome
C0014742	erythema multiforme
C0014743	erythema nodosum
C0019621	histiocytosis, langerhans-cell
C1718515	xanthine derivatives
C0023048	larva migrans
C0546999	larva migrans, cutaneous
C0023049	larva migrans, visceral
C0013100	dracunculiasis
C0001940	alcohol amnestic disorder
C0027813	neuritis
C0039841	thiamine deficiency
C0349464	wernicke-korsakoff syndrome
C0005122	beriberi
C0043121	wernicke encephalopathy
C0023437	acute basophilic leukemia
C0023439	leukemia, eosinophilic, acute
C0023481	chronic neutrophilic leukemia
C0031436	phenothiazines
C1532278	topical hemostatic agent
C1287242	finding of antibody titer
C0027145	myxedema
C0040136	thyroid neoplasm
C0920350	autoimmune thyroiditis
C0520886	st segment elevation (finding)
C0265114	completed stroke
C0242129	thrombotic stroke
C0065061	lipoprotein-associated coagulation inhibitor
C1096567	klebsiella oxytoca infection
C0023886	liver abscess, amebic
C0026826	muscle hypertonia
C0024031	low back pain
C0002556	aminoglycosides
C0009681	anomalous pulmonary artery
C0003851	arteriosclerosis obliterans
C0007462	causalgia
C0031190	persistent fetal circulation syndrome
C0231239	fluctuation
C0423773	scaly skin
C0581339	scalp infection
C0037769	infantile spasms
C2216732	malignant neoplasm of cervix stage ivb
C2612890	cholesterol o-acyltransferase activity
C1168327	high-grade prostatic intraepithelial neoplasia
C1150619	fgfr activity
C0085220	cerebral amyloid angiopathy
C1152754	prostaglandin f receptor activity
C0274426	complication of infusion
C0436334	exercise aggravates symptom
C0278962	new york heart association class iii/iv
C0020758	congenital ichthyosis
C0022595	keratosis follicularis
C0302133	mottling
C0079154	congenital nonbullous ichthyosiform erythroderma
C0022596	palmoplantar keratosis
C0859038	skin roughness
C0406211	solar comedone
C0276262	verruca plana
C0238094	idiopathic edema
C0271728	secondary hyperaldosteronism
C0597263	pollutant interaction
C1286236	odor of skin
C0423759	hard skin
C0004615	bacterial infections and mycoses
C1282461	acquired nystagmus
C0751850	heavy metal poisoning, nervous system
C2228239	epithelial keratitis
C0022576	keratoconjunctivitis, infectious
C1324196	3-beta(or 20-alpha)-hydroxysteroid dehydrogenase activity
C0029877	ear inflammation
C1535939	pneumocystis jiroveci pneumonia
C0023413	leucovorin
C0002346	alternative medicine
C0700201	dyssomnias
C0003290	tricyclic antidepressive agents
C0001916	albinism
C0235238	cycloplegia
C0034951	refractive errors
C1261562	detrusor instability
C0275665	gonorrhea of rectum
C0007860	uterine cervicitis
C0259768	wound dehiscence
C0038940	surgical wound dehiscence
C1864158	immediate (type i) skin test reactivity
C1150450	n-acetylglucosamine kinase activity
C0679381	pediatric disorder
C0021375	inflammation, allergic
C0027441	nasopharyngitis
C2612305	follitropin activity
C3160871	follicle-stimulating hormone deficiency
C0340535	acute massive pulmonary embolism
C0024348	lysis
C0008312	primary biliary cirrhosis
C0020701	hysteria
C0333355	mucositis
C2257266	poly(adp-ribose)polymerase activity
C0442185	subfoveal
C0600518	choroidal neovascularization
C0153278	histoplasmosis with retinitis
C0154778	myopia, degenerative
C0339403	presumed ocular histoplasmosis syndrome
C0031740	photochemotherapy
C1152209	4-aminobutyrate transaminase activity
C1096063	refractory epilepsy
C1444662	discontinued
C0424000	feeling suicidal (finding)
C0014754	acute erythremia
C0085669	acute leukemia
C0334674	acute panmyelosis with myelofibrosis
C0278506	non-small cell lung cancer stage iii
C0003050	animal feed
C0301937	autoimmune reaction mediated by t cells
C1855520	hyperglycemia, postprandial
C1393529	vascular complications
C0276653	invasive pulmonary aspergillosis
C0276706	infection by scedosporium boydii
C0278580	cutaneous t-cell lymphoma recurrent
C0549124	arterial embolism
C0917805	transient cerebral ischemia
C0035326	retinal vascular occlusion
C0007787	transient ischemic attack
C0276353	influenza due to influenza virus, type b
C3271972	cytokinin binding
C1368019	paget's disease
C0304461	acidifying preparation
C1149785	urease activity
C1152052	geranyltransferase activity
C0032788	postoperative hemorrhage
C2957593	phototherapy fluorescent light blue light
C0043254	wounds, penetrating
C1998083	inflammatory acne
C2257992	carbamylphosphate synthetase activity
C0268543	hyperammonemia, type iii
C0947622	cholecystolithiasis
C0042035	urination disorders
C0392209	nutritional status
C0338472	toxic encephalopathy due to lead
C1999216	inhibitor
C0282597	spectrometry, mass, matrix-assisted laser desorption-ionization
C0038054	sprue, tropical
C1157079	folic acid metabolism
C0079581	hypochlorhydria
C2350510	viscoelastic substances
C0428072	synovial fluid viscosity low
C0016977	gall bladder diseases
C1152691	g-protein coupled receptor activity
C0152031	joint swelling
C0281913	swelling of skeletal muscle
C0142874	sodium lactate
C0085307	embolism and thrombosis
C1327575	response to mycotoxin
C0376446	reducing agents
C1154563	response to auxin stimulus
C0175921	catalyst
C0857177	arthritic pains
C0684275	hemophilia, nos
C0005779	blood coagulation disorders
C0029163	oral hemorrhage
C0005967	bone neoplasms
C0013405	dyspnea, paroxysmal
C0268124	adenosine deaminase deficiency
C0085110	severe combined immunodeficiency
C0279033	replacement therapy
C1446787	cramping sensation quality
C0497156	lymphadenopathy
C0150077	broken skin
C0427195	muscle tension
C0476288	digestive symptom
C0030758	body louse infestation
C0015676	mental fatigue
C0236848	age-related cognitive decline
C0011269	dementia, vascular
C0152136	low tension glaucoma
C0393562	mixed cortical and subcortical vascular dementia
C0241692	visual field decrease
C0020639	hypoproteinemia
C0013161	drug carriers
C0023828	liposomes
C0012739	disseminated intravascular coagulation
C0019156	hepatic veno-occlusive disease
C0037379	snake bites
C2250406	h+-transporting two-sector atpase
C2930898	benign essential blepharospasm
C2029673	head posture (physical finding)
C0013421	dystonia
C0015464	facial nerve diseases
C0007859	neck pain
C0037277	skin diseases, genetic
C0392674	exhaustion
C3158644	choriogonadotropin hormone receptor activity
C2674164	hemorrhagic episodes
C0015503	factor vii deficiency
C0302232	demulcent
C0014819	erythropoiesis
C0236082	vaginal pain
C0423742	painful intercourse female
C0018062	chorionic gonadotropin
C0339805	cat allergy (disorder)
C0489531	history of allergies
C0277158	infection by toxascaris leonina
C0277154	infection by toxocara canis
C0003952	ascaridiasis
C2979985	biological agents
C1155250	immunoglobulin mediated immune response
C1837066	recurrent viral infections
C2239176	liver carcinoma
C0010403	cryoglobulinemia
C0018916	hemangioma
C0011226	hepatitis d infection
C0020876	ileal neoplasms
C0036920	sezary syndrome
C0024307	lymphomatoid granulomatosis
C0024586	malignant carcinoid syndrome
C0343641	human papilloma virus infection
C0029454	albers-schonberg disease
C0018203	granulomatous disease, chronic
C0014733	erysipelas
C1276801	infection due to erysipelothrix rhusiopathiae
C0275813	strangles
C1096253	cardiac infection
C2827407	infectious otitis media
C0036285	scarlet fever
C0273952	burn of lip
C0565944	burn of skin of body region
C0743284	drug exposure
C0014412	environmental exposure
C0332157	exposure to
C0019189	hepatitis, chronic
C0008733	chylothorax
C3268409	inositol phosphorylceramide phospholipase activity
C1719672	severe sepsis
C0242966	systemic inflammatory response syndrome
C1704437	respiratory distress syndrome
C0004144	atelectasis
C2244412	actin polymerization
C0849773	coagulation factor deficiency
C0222096	skin structure of nasolabial fold
C0003705	arachnidism
C0741884	end stage cancer
C1148772	rxr activity
C0003968	ascorbic acid
C0025353	mental health
C0522058	carbohydrate craving
C1148759	transcription factor activity
C0849912	emotional
C0031485	phenylketonurias
C1408258	kidney; damage
C2252970	arogenate dehydrogenase activity
C1142132	carnitine deficiency
C1260388	carnitine deficiency due to inborn errors of metabolism
C3250143	carnitine metabolism disturbances
C0268596	multiple acyl coenzyme a dehydrogenase deficiency
C0220710	medium-chain acyl-coenzyme a dehydrogenase deficiency
C0268583	methylmalonic acidemia
C0268579	propionic acidemia
C0342788	renal carnitine transport defect
C2025219	secondary carnitine deficiency
C1151471	nitric oxide synthase activity
C0043240	wound healing
C0424578	psychological well being
C0162703	pain threshold
C2984554	emotional well-being
C1149850	phosphatidylinositol phospholipase c activity
C0053396	beta carotene
C0030013	oxidative phosphorylation
C1151142	tyrosine 3-monooxygenase activity
C2243534	n-acetylserotonin o-methyltransferase activity
C0266015	congenital digestive system anomalies
C0304550	bulk-forming laxative
C1879410	nuclear imaging agents
C0333361	acute inflammation
C0427499	red blood cell survival
C0008533	hemophilia b
C0425449	gasping for breath
C0033741	protozoan infections, animal
C0920289	sluggishness
C0238370	phosphorus poisoning
C1955743	mineralocorticoid deficiency
C0553767	cerebral palsy, congenital
C0031036	polyarteritis nodosa
C0012254	digitalis toxicity
C0677050	manganese poisoning
C1319066	spayed female
C0271606	primary ovarian failure
C0304869	intermediate-acting insulin
C0011880	diabetic ketoacidosis
C0027055	myocardial reperfusion injury
C1522447	cutaneous route of drug administration
C0860975	iron low
C1719537	chronic kidney disease requiring chronic dialysis
C0343598	semliki forest fever
C0026985	myelodysplasia
C0302917	lewis acids
C1372812	pulmonary arterial vasodilation [pe]
C0231835	tachypnea
C0998332	argulus
C2610947	mucus secretion
C0085632	indifferent mood
C0276815	infection by hexamita
C1295719	leach type finding
C0040820	trematode infections
C0155119	recurrent erosion of cornea
C0859996	corneal sensitivity decreased
C0339295	exposure keratoconjunctivitis
C0235857	lacrimation decreased
C0339223	neuropathic corneal ulcer
C1371779	decreased oxygen carrying capacity [pe]
C0008920	cleansing agents
C0038739	sulfides
C0860807	cardiac blood pool imaging abnormal
C0444699	gated equilibrium
C2261561	cyclin-dependent kinase activity
C1135843	allelochemicals
C2258044	carnitine palmitoyltransferase i activity
C1735634	acute allograft rejection
C0041657	unconscious state
C0679431	disease of adrenal medulla
C0940931	complication, hemorrhage
C0012546	diphtheria
C0040555	toxoids
C0278146	shooting pain
C1735348	anal irritation
C0042996	vulvitis
C0264393	panacinar emphysema
C1321023	bone healing status
C0151692	impaired wound healing
C2986808	radioactive label
C0428714	cerebral blood flow measurement
C0231921	pulmonary function
C0034551	radioactive tracers
C0858738	vitamin b12 absorption decreased
C0040399	tomography, emission-computed, single-photon
C0920348	lymphatic vessel diseases
C0204800	preoperative preparation of skin
C0017313	patient care
C0429632	total body water
C1151146	nadph oxidase activity
C1444093	infection due to resistant bacteria
C2049916	infection resistant to multiple drugs
C0343401	mrsa - methicillin resistant staphylococcus aureus infection
C1326122	myeloid dendritic cell activation
C0151544	gastrointestinal carcinoma
C0030446	paralytic ileus
C0595929	serum cholesterol raised
C0940800	partial biliary system obstruction
C1150906	phenylalanine ammonia-lyase activity
C1394891	intrinsic factor deficiency
C0042845	vitamin b 12
C0489461	carbohydrate intake
C0856633	burns extensive
C0428554	finding of blood glucose level
C0232656	impaired intestinal protein absorption
C0858734	insulin hypoglycaemia
C1527401	insulin shock
C1821514	maintenance of nutritional requirements
C0854100	nitrogen balance negative
C0556043	protein requirement
C0152169	renal colic
C0016807	functional disorder of intestine
C0041755	adverse reaction to drug
C0748346	reserpine allergy
C0152116	spasmodic torticollis
C1996997	rhytide of glabellar skin
C0023492	leukemia, t-cell
C0079772	t-cell lymphoma
C0497169	hiv-infection/aids
C0521117	severity of illness
C0597361	receptor mediated endocytosis
C0238298	myxedema coma
C0085628	stupor
C1149630	nad-dependent histone deacetylase activity
C0028643	numbness
C0428857	myocardial perfusion
C0570336	coumarin anticoagulant adverse reaction
C0019087	hemorrhagic disorders
C3203356	factor ii deficiency
C0042880	vitamin k deficiency
C0020039	hostility
C0241513	thyrotropin low
C1096061	gastrointestinal cancer metastatic
C0278984	non-small cell lung cancer stage iiib
C1152765	a3 adenosine receptor activity, g-protein coupled
C2984351	aurora kinase signaling pathway
C0598087	cell dedifferentiation
C0274416	complication of dialysis
C0341697	renal impairment
C1096000	bronchopulmonary disease
C0032897	prader-willi syndrome
C1152763	a2a adenosine receptor activity, g-protein coupled
C2057687	tetrahydrobiopterin deficiency
C0282498	heat-shock response
C0700551	aminohippurate sodium
C0022577	keratoconjunctivitis, vernal
C0264649	parenchymal renal hypertension
C2266081	sodium-dependent phosphate transmembrane transporter activity
C0856727	cholesterol gallstones
C0001924	albumins
C0221757	alpha 1-antitrypsin deficiency
C0013312	dupuytren contracture
C0042909	vitreous hemorrhage
C0242973	ventricular dysfunction
C0016736	frostbite
C0423703	genitourinary pain
C0234655	burning sensation in eye
C0475765	swollen nasal mucosa (finding)
C1817756	immune system processes
C0564444	wound of skin
C0278861	recurrent thyroid carcinoma
C2242456	thyroid function
C0040533	toxic effect of venom
C0267436	non-infective diarrhea
C0034494	rabies (disorder)
C0520817	physical disability
C1262299	oral wart
C0014122	subacute bacterial endocarditis
C0040524	septic toxemia
C0522224	paralysed
C1152799	glutamate receptor activity
C1150667	glutamate-ammonia ligase activity
C0861023	insulin low
C0274727	poisoning by digoxin
C0028953	oligonucleotides
C0178463	affinity labeling
C1149955	protein tyrosine phosphatase activity
C1149888	alkaline phosphatase activity
C2264451	cyclopropane fatty acid synthase activity
C1152267	site-specific dna-methyltransferase (adenine-specific) activity
C0235522	disorder of vein
C1262018	graft failure
C0274427	complication of perfusion
C0019247	hereditary diseases
C0679429	platelet dysfunction
C0034155	purpura, thrombotic thrombocytopenic
C1282971	von willebrand disease, type 2b
C2266880	peroxisome proliferator-activated receptor activity [moa]
C3160897	opioid induced constipation
C0239998	recurrent infection
C0522063	impaired gastric emptying
C0013264	muscular dystrophy, duchenne
C0392707	atopy
C0043162	whole-body irradiation
C0015644	muscular fasciculation
C1536085	geographic atrophy
C1749784	axon growth
C0525007	leukopoiesis
C0598773	leukocyte proliferation
C1517353	gd3 binding
C0426576	gastrointestinal symptom
C0236980	opioid-induced disorders
C0410282	muscle cachexia
C0264714	acute heart failure
C0232761	hepatic bilirubin secretion
C0857007	hyperbilirubinemia, neonatal
C0302600	angiogenic process
C1760030	vascular endothelial growth factor activity
C1660757	vascular reactivity
C1533847	disorder of skeletal muscle
C0242979	muscle fatigue
C1325391	selectin activity
C2257475	acetohydroxyacid synthase activity
C0333186	restenosis
C0342774	disorder of mitochondrial respiratory chain complexes
C0026707	mucopolysaccharidosis iv
C1970394	bleeding episodes
C0920420	cancer recurrence
C0945928	cell positive for cd38 antigen
C1720505	adult growth hormone deficiency
C0878550	chylomicron levels raised (plasma)
C0878665	sickle cell crisis (thrombotic)
C2267031	phosphate binder [epc]
C0020630	hypophosphatasia
C0026846	muscular atrophy
C0233794	memory impairment
C0406591	subcutaneous fat disorder
C0392708	ineffective erythropoiesis
C0278147	radicular pain
C0016059	fibrosis
C1152722	adrenergic receptor activity
C0847614	allergy; nasal
C1720579	allergic disorder of digestive system
C0729771	infective pharyngitis
C0014356	enterocolitis
C2262829	relaxation of vascular smooth muscle
C1859164	elevated serum bile acids
C2610491	bone morphogenesis
C0155765	disease of capillaries
C0302820	carbohydrate metabolism
C1822291	scar formation
C1408760	eye; congestive
C0852875	eye allergy
C0412837	antineoplastic poisoning
C2350989	bone mineralization
C0559031	functional gastrointestinal disorders
C0596624	glycogenolysis
C0002934	local anesthetics
C2612523	urate biosynthetic process
C0232589	decreased digestive peristalsis
C2242691	diarrhea rotavirus
C0035920	rubella
C0544654	beta-2 adrenergic receptor function
C1152741	5-ht1 receptor activity
C1522384	sex
C0678884	genital functions
C1971019	sodium deficiency (disorder)
C0005411	biliary atresia
C0278048	fertility problem
C0232741	liver function
C0580462	pituitary function test abnormal
C0031345	pharyngeal diseases
C0040128	thyroid diseases
C1389629	vascular; damage
C0425424	dietary protein intake
C1149946	calcineurin activity
C0243010	viral encephalitis
C1152758	melatonin receptor activity
C0443214	fat absorption
C0238421	selenium deficiency
C0034933	reflex, abnormal
C0028796	dermatitis, occupational
C0004134	ataxia
C0007453	cattle diseases
C0011853	diabetes mellitus, experimental
C0012979	dog diseases
C0860207	drug-induced liver injury
C0015423	eyelid diseases
C0015695	fatty liver
C1527348	brain hypoxia
C0027746	nerve degeneration
C2609414	acute kidney injury
C0028433	nose neoplasms
C0023903	liver neoplasms
C0020429	hyperalgesia
C0085207	gestational diabetes
C0015951	fetal resorption
C0023893	liver cirrhosis, experimental
C0027659	neoplasms, experimental
C0022865	obstetric labor complications
C0032045	placenta disorders
C0032927	precancerous conditions
C0032962	pregnancy complications
C0007871	uterine cervical incompetence
C0236733	amphetamine-related disorders
C0026552	morphine dependence
C0029227	delirium, dementia, amnestic, cognitive disorders
C0751830	gait disorders, neurologic
C1370419	granulosa cell tumor of the ovary
C0270612	leukoencephalopathies
C0030554	paresthesia
C0037822	speech disorders
C0020875	ileal diseases
C0022373	jejunal diseases
C0007370	catalepsy
C0333641	atrophic
C0024668	mammary neoplasms, experimental
C0026640	mouth neoplasms
C0027626	neoplasm invasiveness
C0014072	experimental autoimmune encephalomyelitis
C0033054	prenatal exposure delayed effects
C1879526	aberrant crypt foci
C0007099	carcinoma in situ
C1134719	invasive ductal breast carcinoma
C0007140	carcinosarcoma
C0021841	intestinal neoplasms
C0021846	intestinal polyps
C0024667	animal mammary neoplasms
C0920269	microsatellite instability
C0282612	prostatic intraepithelial neoplasias
C0036095	salivary gland neoplasms
C0036503	sebaceous gland neoplasms
C0403823	asthenozoospermia
C0004509	azoospermia
C0005612	birth weight
C0005911	body weight changes
C0008325	cholecystitis
C0752351	embryo loss
C0015934	fetal growth retardation
C0751992	fetal weight
C0028960	oligospermia
C0039584	testicular diseases
C0002938	aneuploidy
C0007621	cell transformation, neoplastic
C0376628	chromosome breakage
C0030421	paraganglioma
C0525045	mood disorders
C0037198	sinus thrombosis, intracranial
C0162823	dermatitis, irritant
C0022656	kidney cortex necrosis
C0011606	exfoliative dermatitis
C0009792	consciousness disorders
C0268631	succinic semialdehyde dehydrogenase deficiency
C0025205	melanoma, experimental
C0035410	rhabdomyolysis
C0038579	substance abuse, intravenous
C0162824	dermatitis, photoallergic
C0023530	leukopenia
C0000772	multiple congenital anomalies
C0001197	acrodermatitis
C0011609	drug eruptions
C0018965	hematuria
C0241910	hepatitis, autoimmune
C0206762	limb deformities, congenital
C0030312	pancytopenia
C0030552	paresis
C0023485	precursor b-cell lymphoblastic leukemia-lymphoma
C1961102	precursor cell lymphoblastic leukemia lymphoma
C0020672	hypothermia, natural
C0025261	memory disorders
C0004782	basal ganglia diseases
C0031212	personality disorders
C0038273	stereotypic movement disorder
C0162283	nephrogenic diabetes insipidus
C0001969	alcoholic intoxication
C0007194	hypertrophic cardiomyopathy
C0553980	endomyocardial fibrosis
C0017185	gastrointestinal neoplasms
C0162557	liver failure, acute
C0400966	non-alcoholic fatty liver disease
C0151436	vasculitis, leukocytoclastic, cutaneous
C0009676	confusion
C0019079	hemoptysis
C0003493	aortic diseases
C0751955	brain infarction
C0751931	femoral neuropathy
C0018944	hematoma
C0018946	hematoma, subdural
C0020580	hypesthesia
C0151699	intracranial hemorrhages
C0027743	nerve compression syndrome
C0035439	rheumatic heart disease
C0035956	rupture, spontaneous
C0039070	syncope
C2713367	abnormality, severe teratoid
C0001125	acidosis, lactic
C0236970	alcohol-induced disorders
C0003130	anoxia
C0242528	azotemia
C0005395	bile duct diseases
C0155320	blindness, cortical
C0085128	cardiac output, high
C0008728	churg-strauss syndrome
