C0000729	Abdominal cramps
C0231471	Posture abnormal
C0234952	Oropharyngeal spasm
C0234953	Tongue spasm
C0235551	Laryngotracheal oedema
C0264009	Osteodystrophy
C0271441	Otitis media chronic
C0343494	Risus sardonicus
C0392168	Emprosthotonus
C0520821	Pleurothotonus
C0521507	Injection site ulcer
C0522336	Eye rolling
C0857494	Unresponsive to stimuli
C0919590	Injection site cellulitis
C1141890	Long QT syndrome congenital
C1142017	Glabellar reflex abnormal
C1299624	Postural orthostatic tachycardia syndrome
C1328377	Oculo-respiratory syndrome
C1963718	Oculorespiratory syndrome
C1504343	Acarodermatitis
C1504435	Electrocardiogram QT interval abnormal
C1608410	Head titubation
C1611162	Plateletcrit decreased
C1696700	C1 esterase deficiency acquired
C0026393	Molluscum contagiosum
C0043325	Xanthomatosis
C0405580	Adrenal cortical hypofunction
C0476397	Electroretinogram abnormal
C1167863	Retinogram abnormal
C0542075	Local throat irritation
C0005686	Bladder disorder
C0006111	Brain disorder NOS
C0281839	Oesophageal rupture
C0521546	Congenital joint malformation
C0699790	Carcinoma colon
C1262022	Freezing phenomenon
C0152086	Traumatic arthropathy
C0160087	Ankle sprain
C0267356	Duodenal perforation
C0347721	Back strain
C0005683	Calculus bladder
C0007103	Endometrial neoplasm malignant
C0007107	Laryngeal cancer
C0007112	Adenocarcinoma of prostate
C0007113	Rectal cancer
C0022602	Actinic keratosis
C0022603	Seborrhoeic keratosis
C0029883	Middle ear effusion
C0032371	Poliomyelitis
C0152018	Oesophageal carcinoma
C0158266	Intervertebral disc degeneration
C0206633	Angiomyolipoma
C0235821	Therapeutic response increased
C0235851	Hyperbilirubinemia aggravated
C0235960	Parkinsonism aggravated
C0235984	Salivary duct obstruction
C0238198	Gastrointestinal stromal tumour
C0238461	Anaplastic thyroid cancer
C0263912	Rotator cuff syndrome
C0338480	Migraine without aura
C0409962	Localized osteoarthritis
C0473117	Ischaemic hepatitis
C0496899	Brain neoplasm benign
C0549357	Abdominal adhesions
C0740278	Pelvic peritoneal adhesions
C0156181	Peritoneal adhesions
C0860988	Phosphate increased
C0919625	Blood phosphorus increased
C1142249	Infected cyst
C1956089	Bone spur
C1735630	Acute cholestatic hepatitis
C1096257	Dental discomfort
C1112677	Protein allergy
C1142358	Lactic acidosis syndrome
C1142524	Asymptomatic hyperlactatemia
C0231694	Festinating gait
C0859371	Lip burning sensation of
C0001511	Adhesion
C0235667	Mastitis acute female
C0265110	Vasospasm cerebral
C1167661	Cerebral vasoconstriction
C1142239	Call-Fleming syndrome
C3544214	Reversible cerebral vasoconstriction syndrome
C0016325	Fluorosis
C0852203	Fluoride increased
C0017662	Glomerulonephritis membranoproliferative
C0235735	Unexpected therapeutic effect
C0853141	Therapeutic response unexpected
C0268733	Acute nephritis
C0011057	Sudden hearing loss
C0022078	Iris disorder
C0035326	Retinal vascular occlusion
C0235260	Chloropsia
C0235980	Scleral discolouration
C0263978	Soft tissue disorder
C0269002	Penile haemorrhage
C0271211	Erythropsia
C0339478	Arteriosclerotic retinopathy
C0497217	Other disorders of eye
C0750151	Vaso-occlusive crisis
C0854725	Cyanopsia
C0877154	Visual brightness
C1852242	AION
C2242711	Arteritic anterior ischaemic optic neuropathy
C0151788	Eosinophilic myocarditis
C0205707	Sprue
C0853023	Blood parathyroid hormone increased
C0024899	Mastocytosis
C0346421	Chronic eosinophilic leukaemia
C0473311	Haemorrhagic ovarian cyst
C0740457	Renal cancer
C0748536	Scleral haemorrhage
C0877584	Tumour haemorrhage
C1699324	Pharyngeal mucositis
C0560046	Unable to walk
C0877217	Abasia
C0021670	Insulinoma
C0151638	Syndrome Fanconi-like
C0341702	Fanconi syndrome acquired
C0268435	Proximal renal tubular acidosis
C1527401	Shock insulin
C0851302	Shock hypoglycaemic
C0016169	Fistula
C0079772	T-cell lymphoma
C0521619	Pelvi-ureteric obstruction
C0851881	Enterococcal infection
C1142397	Myoglobinaemia
C0282074	Biliary sludge
C0009088	Cluster headache
C0162871	Abdominal aortic aneurysm
C0003486	Aortic aneurysm
C0232933	Menstrual cycle abnormal
C0236073	Cerebellar infarction
C0281914	Musculoskeletal deformity
C0520539	Hypertensive episode
C0521662	Hemiplegia transient
C1142080	Injection site stinging
C1527340	Voice disturbance
C1956391	Temporal arteritis
C2718128	Nasal inflammation
C2750515	Subcutaneous bleeding
C0021100	Bullous impetigo
C0022504	Kaposi's varicelliform eruption
C0030299	Pancreatic pseudocyst
C0150045	Urge incontinence
C0232285	Chest pressure sensation of
C0235433	Fat tissue increased
C0262417	Pancreatitis acute on chronic
C0265962	Netherton's syndrome
C0267925	Bile duct stenosis
C0267941	Pancreatitis necrotising
C0349705	Haemoglobin abnormal
C0392034	Gastrooesophagitis
C0438167	Electrocardiogram T wave abnormal
C0476369	Echocardiogram abnormal
C0584995	Writing impaired
C0700572	Mobility decreased
C0740380	Varicella zoster
C0854331	Herpes simplex dermatitis
C1262170	Herpes dermatitis
C0858346	Gastrointestinal ulcer perforation
C0860603	Anxiety symptoms NOS
C0936250	Eczema herpeticum
C0948031	Primary graft dysfunction
C1167870	Graft dysfunction
C1321632	Venous thrombosis deep limb
C1504532	Post transplant diabetes mellitus
C3495916	Myocardial hypertrophy
C1383860	Cardiac hypertrophy
C0009663	Anogenital warts
C0011881	Diabetic nephropathy
C0040262	Tinea versicolour
C0238463	Papillary thyroid cancer
C0156369	Uterine polyp
C0267834	Hepatic cyst
C0338113	Sarcoma uterus
C1153706	Endometrial adenocarcinoma
C1536459	Nettle rash
C0010930	Dacryocystitis
C0155170	Conjunctival cyst
C0271308	Blepharitis allergic
C0155177	Eczema eyelids
C0343401	Methicillin-resistant Staphylococcus aureus infection
C0413234	Acute allergic reaction
C0948085	Corneal defect
C0278126	Equilibrium loss
C0677865	Brain stem glioma
C0031736	Polymorphic light eruption
C2364082	Hyposmia
C0006434	Burn
C0023531	Leukoplakia
C0033949	Male orgasmic disorder
C0042341	Varicocele
C0151685	Growth accelerated
C0233976	Clitoral engorgement
C0268671	Korsakoff's psychosis (non-alcoholic)
C0349464	Wernicke-Korsakoff syndrome
C0269268	Breast induration
C0277986	Gingival oedema
C0282612	Prostatic intraepithelial neoplasia
C3160830	Prostatic dysplasia
C0405479	Nipple disorder
C0427458	Red blood cell count increased
C0438241	Blood urea normal
C0455880	Poor urinary stream
C0520546	Pulmonary microemboli
C0702109	Erythropoiesis abnormal
C0856152	Buccal mucosal roughening
C0856968	Raised serum lipid levels
C0851043	Lipids increased
C0860851	Oestradiol increased
C0877331	Abnormal clotting factor
C0877497	Redness gum
C0239735	Gingival erythema
C0877639	Gingival blister
C0919568	Impatience
C1096267	Injection site discomfort
C1096506	Free prostate-specific antigen increased
C1096657	Prostate examination abnormal
C1112346	Prostate induration
C2721578	Pulmonary oil microembolism
C0474444	Corneal stromal edema
C0007462	Causalgia
C0023440	Erythroleukaemia
C0151846	Disorder periosteal
C0238807	Bone tenderness
C0241228	Spleen palpable
C0853013	Diverticular perforation
C1096448	Bronchopneumopathy
C0742965	Eosinophilic cystitis
C0151834	Papanicolaou smear suspicious
C0858899	Attention concentration difficulty
C0239591	Paresthesia of fingers
C0728993	Spotting vaginal
C0848383	Eye ulcer
C0040797	Traumatic haemorrhage
C3267156	Operative bleeding
C0920195	Aphakic cystoid macular oedema
C0235678	Vaginal odour
C0877172	Spinal epidural haematoma
C1536220	ST segment elevation myocardial infarction
C0010032	Corneal abrasion
C2607947	Deafness unilateral
C3495950	Cochlear toxicity
C0033075	Presbyopia
C0085569	Acidosis hyperchloraemic
C0233415	Distractibility
C0234975	Convulsions aggravated
C0235834	Upper motor neurone lesion
C0236826	Expressive language disorder
C0242785	Drug - food interaction
C0242784	Food interaction
C0259972	Ketogenic diet
C0270736	Essential tremor
C0393615	Familial tremor
C0428196	Bicarbonate level
C0853263	Blood bicarbonate
C0454643	Word finding difficulty
C0751265	Learning disability
C0852909	Blood bicarbonate decreased
C0855217	Lack of spontaneous speech
C0877792	Circadian rhythm sleep disorder
C0948856	Orgasmic sensation decreased
C1096444	Altered visual depth perception
C1142034	Tandem gait test abnormal
C1261981	Urticaria localised
C1456865	Calculus ureteric
C1696943	Hypoaesthesia facial
C0853334	Thrombocytopenia aggravated
C0014511	Cyst epidermal
C0015459	Face injury
C0019338	Herpangina
C0034888	Rectal prolapse
C0039504	Tendon injury
C0085697	Pyelonephritis chronic
C0155943	Arthralgia of temporomandibular joint
C0039496	Temporomandibular joint syndrome
C0235329	Small intestinal obstruction
C0262365	Mammogram abnormal
C0263888	Back disorder
C0271453	Otitis media serous
C0435632	Hand fracture
C0520547	Poor peripheral circulation
C0521634	Genital itching female
C0541913	Duodenal ulcer aggravated
C0549239	Dizziness aggravated
C0549277	Gastritis aggravated
C0549635	Potassium abnormal NOS
C0853759	Blood potassium abnormal
C0580546	Blood glucose abnormal
C0700201	Dyssomnia
C0744131	Foot infection fungal NOS
C0853246	Eczema exacerbated
C0853312	Osteoarthritis aggravated
C0853595	Blood cholesterol abnormal
C0853698	Lymphocyte count increased
C0853762	Exacerbation of hot flushes
C0855618	Alanine aminotransferase decreased
C0855622	Aspartate aminotransferase decreased
C0856100	Pancreatitis aggravated
C0876980	Headache aggravated
C0877173	Food aversion
C0919777	Band neutrophil count increased
C0948014	Red cell distribution width increased
C0948482	Analgesic effect
C0412784	Analgesic therapy
C1096368	Mean platelet volume decreased
C1279247	Genitourinary tract infection
C1868912	Uric acid increased
C3203485	Orthostatic dysregulation
C0428282	Serum creatinine decreased
C0877266	Upper respiratory tract inflammation
C0022656	Renal cortical necrosis
C0340643	Aortic dissection
C0457436	Hemiparesis (left)
C0740281	Multiple allergies
C0010666	Acne cystic
C0036420	Circumscribed scleroderma
C1527383	Morphoea
C0221154	Hypertension paroxysmal
C0231613	Occipital headache
C0240182	Leukonychia
C0001816	Agnosia
C0020579	Hypervitaminosis A
C0028817	Ochronosis
C0029400	Osteitis
C0231875	Wheezing expiratory
C0235344	Buccal mucosa ulceration
C0268948	Scrotal ulcer
C0860564	Retinoic acid syndrome
C1112625	Cerebellar oedema
C1859270	Slow speech
C2721737	Application site stinging
C0020492	Hyperostosis
C0221252	Eruptive xanthoma
C0221260	Nail dystrophy
C0263445	Acne fulminans
C0263634	Excessive granulation tissue
C0851647	Muscle tone disorder
C0149518	Acute gastritis
C0271901	Hypochromic microcytic anemia
C0018975	Blindness day
C0919578	Idiosyncratic drug reaction
C0235048	Smarting
C0425946	Short period
C1282609	Granulocytosis
C0034079	Lung nodule
C0149726	Pulmonary mass
C0042548	Plantar warts
C0857495	Sore nose
C0341505	Chemical peritonitis
C0406650	Linear IgA disease
C0857246	Red neck
C0018995	Haemochromatosis
C0026265	Mitral valve disease
C0029464	Osteosclerosis
C0277889	Blood pressure diastolic increased
C0011757	Developmental coordination disorder
C0014550	Myoclonic epilepsy
C0018552	Hamartoma
C0026633	Congenital oral malformation
C0155947	Dentofacial anomaly
C0206762	Limb malformation
C0234543	Postictal state
C0235753	Haemangioma congenital
C0239234	Low set ears
C0266011	Supernumerary nipple
C0266316	Congenital hydronephrosis
C0521554	Congenital vesicoureteric reflux
C0521694	Retinal atrophy
C0853811	Croup infectious
C1328407	Hip dysplasia
C0019555	Developmental hip dysplasia
C1737329	Dysmorphism
C1739111	Foetal anticonvulsant syndrome
C1868998	Cytotoxic oedema
C0149925	Small cell lung cancer
C0549444	Vein discolouration
C0009768	Conjunctivitis bacterial
C0236816	Acute stress disorder
C0240873	Rectal mass
C1142163	Intestinal mass
C0240962	Scleral icterus
C1141938	Ocular icterus
C0400839	Rectal ulcer
C0574068	Rib pain
C0744369	Genital lesion
C1868917	Heart racing
C0268070	Copper deficiency
C0854028	Blood copper decreased
C0042065	Genitourinary tract neoplasm
C0742339	Chest heaviness
C1740836	Acute migraine
C0852928	Insomnia exacerbated
C0853402	Exposure to poisonous plant
C0522757	Exposure to toxic agent
C0428167	Fraction of inspired oxygen
C0877169	Neonatal hyponatraemia
C0001733	Factor I deficiency
C0022353	Jaundice neonatal
C0159020	Convulsion neonatal
C0475319	Pelvic haematoma
C0549400	Apgar score low
C0541754	Abscess sterile
C0403645	Atonic urinary bladder
C0581883	Complete hearing loss
C0854101	Urine sodium increased
C2955673	Urate nephropathy
C0751955	Brain infarction
C1295585	Decreased vibratory sense
C0302832	Obsessional neurosis
C1744587	Balance difficulty
C0235950	Zinc deficiency
C0855675	Blood zinc decreased
C0238792	Bone lesion
C0334660	Intravascular large B-cell lymphoma
C0521169	Compression fracture
C0576093	Genu valgum
C0576091	Knee deformity
C0007871	Cervical incompetence
C0032962	Complication of pregnancy
C0085207	Gestational diabetes
C0340274	Gestational hypertension
C0542120	Injection site nodule
C1963824	Shortened cervix
C2930821	Keratitis sicca
C2939065	Airway edema
C0020641	Hypopyon
C0271160	Cataract cortical
C0392557	Cataract nuclear
C0948862	Detachment of retinal pigment epithelium
C1112376	Optic disc vascular disorder
C2314994	Spinal cord infarction
C0268854	Contracted bladder
C0743842	Acute febrile illness
C0860040	BCG infection
C0041307	Bovine tuberculosis
C1276118	Urticaria recurrent
C0234972	Convulsive disorder
C0268009	Plasma osmolality increased
C0018023	Goiter nodular
C0221777	Nontoxic goiter
C0234374	Tremor coarse
C0349208	Manic episode
C0425449	Gasping
C0685341	Congenital limb hyperextension
C0858786	Toxic symptom
C0033948	Female orgasmic disorder
C0311223	Frozen shoulder
C0700509	Chronic peptic ulcer
C0241013	Serum ferritin increased
C1096049	Infusion site swelling
C0853395	Painful red eyes
C1698394	Acute promyelocytic leukaemia differentiation syndrome
C0476289	Gas pain
C0004812	Basilar artery syndrome
C0042568	Vertebrobasilar insufficiency
C0026916	Mycobacterium avium complex infection
C1328428	Mycobacterium test
C0277799	Intermittent fever
C0595902	Blood chloride decreased
C0853737	Blood bicarbonate increased
C0854524	Peridiverticular abscess
C0742545	Colonic abscess
C2350530	Bronchopulmonary aspergillosis
C0267373	Intestinal haemorrhage
C0151624	Ulcerative enterocolitis
C0274869	Metal poisoning
C0333604	Chrysiasis
C0003742	Arcus senilis
C1142068	Arcus lipoides
C0274312	Graft complication
C0340909	Arteriovenous fistula thrombosis
C0521500	Injection site extravasation
C0578736	Lymphadenopathy inguinal
C0037926	Spinal cord compression
C0000817	Abortion infected
C0877092	Venipuncture site bruise
C1535879	Vessel puncture site bruise
C1619692	Nephrogenic systemic fibrosis
C1761609	Aspiration pneumonitis
C2609148	Barium impaction
C1704375	Hypophosphataemic rickets
C0010308	Congenital hypothyroidism
C0020503	Hyperparathyroidism secondary
C0264286	Pharyngitis ulcerative
C0156273	Bladder diverticulum
C0855624	Aspartate aminotransferase normal
C0857236	Rash both legs
C0232826	Antidiuresis
C1142166	Brugada syndrome
C0853347	Venous thrombosis limb
C0877606	Infusion site burning
C0149777	Abscesses of skin
C0457798	Dermatitis eyelid
C0022541	Kearns-Sayre syndrome
C0562483	Persistent cough
C0239511	Numbness facial
C0023653	Lichenification
C0392707	Atopy
C0423701	Urinary tract pain
C0271623	Secondary hypogonadism
C0549383	Ovarian hyperstimulation
C0919267	Ovarian neoplasm
C1331543	Puerperal pyrexia
C0235575	Hemolytic reaction
C0375548	Nausea alone
C0520757	Delayed recovery from anaesthesia
C0520758	Neuromuscular block prolonged
C0683416	Depersonalization syndrome
C0920070	Cervical smear test positive
C1504452	Implant site pain
C0007933	Chalazion
C0020498	Senile ankylosing vertebral hyperostosis
C0263962	Olecranon bursitis
C0271420	Ceruminosis
C0281361	Adenocarcinoma pancreas
C0549536	Monocyte count decreased
C0578682	Eyebrow loss of
C0854495	Hepatitis F
C0032320	Pneumoperitoneum
C0042961	Volvulus
C0333139	Pneumatosis
C1142175	Shunt thrombosis
C0541772	Ammonia increased
C1504379	Coagulation test abnormal
C0155877	Allergic asthma
C0423813	Splitting nails
C0858219	Clinical flare reaction
C1167699	Lymphostasis
C2242727	Tumour compression
C0242669	Retained placenta
C0405106	Retained placenta or membranes
C0741921	Cardiac enzymes increased
C0812470	Abortion incomplete
C0948782	Uterine cramps
C0151964	Conjunctival ulcer
C0151977	Small intestine ulcer
C0267491	Large intestinal ulcer
C0005826	Blood pressure abnormal
C0151995	Degeneration of uterine fibroid
C0153690	Bone cancer metastatic
C0574785	Lower urinary tract symptoms
C0242459	Loeffler's syndrome
C0854693	Anaesthetic complication neurological
C0919572	Agitation postoperative
C1319200	Confusion postoperative
C0235698	Abdominal distension gaseous
C0235721	Heaviness in limbs
C0853150	Nerve conduction studies abnormal
C1136085	Monoclonal gammopathy
C0852969	Tongue irritation
C0241513	Thyrotropin low
C0853018	Blood thyroid stimulating hormone decreased
C0948240	Thyroxine free decreased
C0155540	Otorrhoea
C0262493	Gallbladder polyp
C0271547	Growth hormone overproduction
C0853015	Blood growth hormone increased
C0474395	Increased activity
C0542239	Tired and heavy
C0581395	Penile infection
C0014752	Erythrasma
C0694549	Community acquired pneumonia
C0577598	Swollen arm
C0033817	Pseudomonas infection
C0152972	Pseudomonal sepsis
C1096714	Infusion site infection
C0458104	Genital pain male
C0423628	Teething pain
C0039437	Teething
C0521506	Injection site paraesthesia
C0236078	Scrotal pain
C0007099	Carcinoma in situ
C0014859	Oesophageal neoplasm
C0024110	Lung abscess
C0151536	Bronchostenosis
C0264352	Bronchial ulceration
C0948651	Bronchial mucus plug
C1868710	Bronchial secretion retention
C1536009	Oesophageal oedema
C0009952	Febrile convulsion
C0156353	Uterovaginal prolapse
C0162810	Hypertrophic scar
C0266453	Exencephaly
C0549430	Procedural site reaction
C0948299	Application site discharge
C0948300	Application site scab
C0948301	Application site skin breakdown
C1112746	Hepatic lymphoma
C1142459	Application site scar
C1384589	Tinea cruris
C1696942	Application site cellulitis
C2004491	Scar
C0241012	Serum ferritin decreased
C0206171	Community acquired infection
C0340305	Inferior myocardial infarction
C0857087	Dizzy spells
C0281982	Skin swelling
C0030976	Perceptual distortions
C0033953	Psychosexual disorder
C0040247	Tinea infection
C0267406	Infarction mesenteric
C0581394	Swelling of legs
C0857189	Raised serum uric acid
C0483455	Prothrombin time ratio
C0029429	Osteochondrosis
C0235222	Diastolic hypertension
C0580412	Prothrombin time abnormal
C0423086	Staring
C0155216	Eyelid bleeding
C0240449	Nasal sinus drainage
C0748725	Sinus operation
C0349702	Corneal scar
C0854717	Corneal epithelium disorder
C1142151	Scleromalacia
C0235849	Stomatitis necrotising
C0679401	Vascular rupture
C0344431	Monomorphic ventricular tachycardia
C0002103	Atopic rhinitis
C0015523	Factor XI deficiency
C0036093	Salivary gland disorder
C0043046	Wasting generalized
C0205875	Papillomatosis
C0221032	Congenital generalised lipodystrophy
C3665770	Acquired lipoatrophic diabetes
C0277577	Psychic disturbance
C0543392	Feces bloodstained
C2939130	Other bacterial diseases
C0009193	Coccydynia
C0009918	Joint contracture
C0022362	Jaw disorder
C0022821	Kyphosis
C0032739	Tuberculin test positive
C0036337	Schizoaffective disorder
C0036601	Self mutilation
C0037650	Somatoform disorder
C0040252	Body tinea
C0040441	Tooth fracture
C0085740	Mendelson's syndrome
C0149801	Urosepsis
C0152447	Urethral discharge
C0159658	Clavicle fracture
C0233519	Suspiciousness
C0233633	Bradypsychic response
C0234922	Rash scaly
C0234988	Dizziness exertional
C0235081	Tremor limb
C0239940	Glycosylated haemoglobin increased
C0272386	Tonsillar hypertrophy
C0342548	Early menarche
C0426959	Akinaesthesia
C0429059	Electrocardiogram T wave amplitude decreased
C0455899	Pharyngeal erythema
C0520723	Periorbital haematoma
C0850001	Heaviness of head
C0853710	Blood prolactin decreased
C0853782	Blood creatine phosphokinase abnormal
C0853958	Blood creatine phosphokinase MB increased
C0854111	Blood triglycerides decreased
C0854171	Temperature regulation disorder
C0854286	Eyelid function disorder
C0854372	Mastication disorder
C0856050	Diet refusal
C0857979	Serum prolactin decreased
C0860805	Urine ketone body present
C0863087	Decreased immune responsiveness
C0863100	Tightness in jaw
C0948352	Injury asphyxiation
C0948353	Markedly reduced dietary intake
C1504561	Hypophagia
C0948579	Bacteria urine identified
C1167760	Bacterial test positive
C1112261	Gaze palsy
C1141884	Head lag abnormal
C1141959	ECG signs of myocardial ischaemia
C1384489	Scratch
C1504376	Unresponsive to verbal stimuli
C1536916	Blood cholesterol decreased
C1611167	Waist circumference increased
C0919726	Postoperative hypertension
C1704431	Electrolyte disturbance
C0000924	Accident
C0863112	Pharyngo-oral irritation
C0155616	Secondary hypertension
C0233718	Pressure of speech
C0858357	Oesophageal stenosis acquired
C0920108	Fasting blood glucose increased
C2609096	Genital hypoaesthesia
C3665418	Labile hypertension
C0025500	Mesothelioma
C0238113	Radiation oesophagitis
C1167745	Extremity necrosis
C1557335	Ocular surface disease
C0029734	Other scleritis
C3160754	Atypical femur fracture
C0853644	Eosinophil count abnormal
C0856623	Orofacial oedema
C0853954	Corneal calcification
C0392390	Hepatitis B e antigen positive
C0039128	Syphilis
C0149985	Secondary syphilis
C0006430	Burning mouth syndrome
C0021807	Intertrigo
C0085119	Ulcer foot
C0158322	Calcaneal spur
C0347941	Chest mass NOS
C0520563	Toxic dilatation of intestine
C0520802	Radiation recall syndrome
C0522348	Ear feels clogged
C0549257	Loss of confidence
C0857183	Pre-menstrual tension syndrome
C3665356	Food intolerance
C0239296	Oesophageal obstruction
C0019342	Genital herpes
C0019554	Hip dislocation
C0020217	Hydatidiform mole
C0031925	Pilonidal cyst
C0149952	Torsion of ovary
C0151864	Pregnancy disorder
C0152096	Trisomy 18
C0178316	Upper limb fracture
C0235250	Hyperemesis
C0850758	Pelvic pain female
C0855506	Red blood cells semen positive
C0877363	Gynecological-related pain
C1261470	Meningocele
C0748023	Bacterial prostatitis
C1112469	Cytomegalovirus syndrome
C0007684	Central nervous system infection
C0282548	Leukostasis
C0424810	Periorbital swelling
C3160759	Tumour cell mobilisation
C1096496	Blood testosterone free increased
C3665795	Microembolism
C0232257	Systolic murmur
C0425643	Midsystolic click
C0854442	Injection site hypertrophy
C1412002	Atypical pneumonia
C0006666	Calciphylaxis
C0149721	Left ventricular hypertrophy
C0264733	Dilatation ventricular
C0344365	Incomplete bladder emptying
C0042135	Uterine atony
C0152159	Uterine hypotonus
C0236022	Neoplasm malignant aggravated
C0948048	Malignant neoplasm progression
C1306580	Bone mass decreased
C0015401	Foreign body in eye
C0033999	Pterygium
C0520729	Subconjunctival cyst
C0541865	Deposit eye
C0549398	Meibomianitis
C0595900	Blood chloride increased
C0748538	Scleral pigmentation
C0852952	Optic nerve cupping
C0877339	Cardio-respiratory distress
C0556385	Alcohol craving
C0158986	Hypoglycaemia neonatal
C0235839	Fever neonatal
C0270274	Vomiting neonatal
C0410919	Bradycardia foetal
C0456103	Sepsis neonatal
C0549395	Blood urea decreased
C0854706	Neonatal infection
C1112613	Neonatal tachypnoea
C1285373	Respiratory disorder neonatal
C0857175	Postinfarction
C0395005	Polydipsia psychogenic
C0858156	Serum potassium abnormal
C0858176	Serum sodium abnormal
C0853786	Blood sodium abnormal
C0018134	Graft versus host reaction
C0030409	Paracoccidioides infection
C0302870	Microcytic
C0221265	Microcytosis
C0855331	Electrocardiogram QT corrected interval
C0429028	Electrocardiogram QT interval
C0085074	Granuloma annulare
C0401149	Constipation chronic
C0159076	Choluria
C0853254	Nasal passage irritation
C0522051	Acute chest pain
C0239026	Chest X-ray normal
C0241165	Skin thickening
C2721563	Infectious pneumonitis
C0497471	Moniliasis genital female
C0858535	Thrombocytopenia toxic
C0342592	Anion gap increased
C0022572	Keratoacanthoma
C0206698	Cholangiocarcinoma
C0553686	Brain herniation
C0742115	Cerebritis
C0877450	Obnubilation
C0948245	Cytokine release syndrome
C1096458	Vascular occlusion
C0423285	Keratic precipitates
C0520532	Subcutaneous haematoma
C0006261	Bronchial disorder
C0015674	Chronic fatigue syndrome
C0019364	Ophthalmic herpes zoster
C0019385	Meningoencephalitis herpetic
C0023484	Plasma cell leukaemia
C0023860	Listeriosis
C0024904	Mastoiditis
C0034544	Radiculitis
C0156339	Vulval ulceration
C0221030	Hyperviscosity syndrome
C0235912	Hepatic haemorrhage
C0239279	Epididymal tenderness
C0268407	Cardiac amyloidosis
C0276252	Cytomegalovirus hepatitis
C0334634	Mantle cell lymphoma
C0460048	Large intestinal obstruction
C0476337	Blood gases abnormal
C0521622	Bilateral hydronephrosis
C0549284	Fibrillation atrial aggravated
C0549322	Eyelid infection
C0580181	Jessner's lymphocytic infiltration
C0677658	Breast disorder female
C0751908	Vestibular neuronitis
C0852970	Dacryoadenitis acquired
C0853330	Peripheral neuropathy aggravated
C0854146	Blood test abnormal
C0856761	Budd-Chiari syndrome
C1142158	Hepatic vein occlusion
C0877325	Anal sphincter atony
C0948806	Catheter related complication
C1112192	Erythrosis
C1141949	Troponin I increased
C1262091	Lymphocytic infiltration
C1328447	Brain stem syndrome
C1868911	Uric acid abnormal
C0855642	Blood uric acid abnormal
C2242576	Oropharyngeal blistering
C2745924	Platelet aggregation increased
C3665473	Deafness bilateral
C0339961	Pneumonia fungal
C0948380	Colorectal cancer metastatic
C0014059	Acute disseminated encephalomyelitis
C0024291	Hemophagocytic lymphohistiocytosis
C0876991	Histiocytosis haematophagic
C0276226	Herpes simplex encephalitis
C1148477	Sudden deafness
C0235214	Ejaculation inhibited
C0861021	Insulin C-peptide increased
C2242577	Oromandibular dystonia
C0745761	Liver nodule
C0032302	Pneumonia mycoplasmal
C0035235	Respiratory syncytial virus infection
C0302507	Parainfluenzae virus infection
C0343361	Gastroenteritis adenovirus
C0744235	Fungal sepsis
C0854453	Escherichia sepsis
C0854504	Enterococcal bacteraemia
C1096262	Escherichia bacteraemia
C1142300	Clostridium colitis
C0007282	Carotid artery stenosis
C0151620	Hypertensive encephalopathy
C0235770	Malignant ovarian cyst
C0699791	Carcinoma stomach
C0024623	Gastric cancer
C0856897	Hemangioma acquired
C0268543	N-acetylglutamate synthase deficiency
C0267465	Intestinal stenosis
C0521620	Hydroureter
C0270639	Transverse sinus thrombosis
C0346392	Choroidal nevus
C0919866	Eye naevus
C0423224	Sunken eyes
C3495827	Lid sulcus deepened
C0423847	Growth of eyelashes
C1112371	Anterior chamber pigmentation
C1142111	Eyelash discolouration
C1142112	Eyelash thickening
C1271398	Pigment dispersion syndrome
C1608399	Dark circles under eyes
C0272285	Heparin-induced thrombocytopenia
C0549429	Surgical site reaction
C1868809	Catheter thrombosis
C1262281	Thrombosis in device
C0239589	Pain in fingers
C0272891	Knee sprain
C0333559	Lacunar infarction
C1263855	Lumbar radiculopathy
C0541802	Bicarbonate decreased serum
C0553706	Serum phosphate increased
C0740434	Direct bilirubin increased
C0854058	pH urine increased
C0877365	Infusion site erythema
C0948257	Immunosuppressant drug level increased
C1096034	Infusion site induration
C1096091	Infusion site pruritus
C1695897	Infusion site irritation
C1698976	Infusion site urticaria
C0857027	Feeling sick
C0856137	Uterine fibroids aggravated
C0013423	Idiopathic torsion dystonia
C0233408	Temporal disorientation
C0006267	Bronchiectasis
C0007274	Carotid artery thrombosis
C0007873	Cervix neoplasm
C0038000	Splenic rupture
C0151491	Congenital musculoskeletal anomaly
C0151790	Nasal septum disorder
C0151879	Electrocardiogram QT shortened
C0302590	Disorder calcium (NOS)
C0006705	Calcium metabolism disorder
C0549473	Thyroid carcinoma
C0007115	Thyroid cancer
C1279296	Chronic leukaemia
C1692886	Arthritis bacterial
C0014306	Enophthalmos
C0702163	Trichorrhexis
C0854438	Blepharal pigmentation
C0948282	Conjunctival bleb
C1536146	Eyelash darkening
C1536145	Eyelash hyperpigmentation
C0031873	Pica
C0477371	Other forms of epilepsy
C0859061	Bilirubin value increased
C0343065	Urticaria physical
C2609041	Mechanical urticaria
C0036114	Gastroenteritis salmonella
C0178874	Neoplasm progression
C0151673	Gonadotropins NOS low
C0853974	Blood gonadotrophin decreased
C0549273	Abdominal pain aggravated
C0549280	Nausea aggravated
